check_id,title,framework,control_ref,category,severity,status,details,remediation,timestamp,collector,version,run_id,host,tags
SOC2-CC1.1,Information Security Policy Exists,soc2,CC1.1,Organization & Management,HIGH,WARN,No policy document found in standard locations. Verify policy is documented.,Maintain a documented Information Security Policy (ISP) and store it in a central location.,2026-02-22T19:32:32.446307Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,"['policy', 'governance']"
SOC2-CC1.2,Audit Daemon Active (Control Environment),soc2,CC1.2,Organization & Management,HIGH,PASS,auditd status: inactive,Enable and configure auditd to capture security-relevant events per CISA guidance.,2026-02-22T19:32:32.461562Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,"['audit', 'logging']"
SOC2-CC2.1,System Logging Service Active,soc2,CC2.1,Communication & Information,MEDIUM,FAIL,No recognized syslog service detected as active.,Install and enable rsyslog or journald for centralized log management.,2026-02-22T19:32:32.495413Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,['logging']
SOC2-CC3.1,Vulnerability Scanner Present,soc2,CC3.1,Risk Assessment,HIGH,WARN,No common vulnerability scanner found in PATH.,"Deploy a vulnerability scanner (e.g., Trivy, Lynis, Nessus) and schedule periodic scans.",2026-02-22T19:32:32.498350Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,['vulnerability-management']
SOC2-CC3.2,Automated Patch Management Configured,soc2,CC3.2,Risk Assessment,HIGH,WARN,notfound,Enable unattended-upgrades (Debian/Ubuntu) or dnf-automatic (RHEL) for automatic security patches.,2026-02-22T19:32:32.509649Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,['patch-management']
SOC2-CC4.1,Log Forwarding / SIEM Agent Present,soc2,CC4.1,Monitoring Activities,HIGH,WARN,No log forwarding agent detected.,"Deploy a log forwarding agent (Filebeat, Fluentd, Splunk UF) to send logs to a SIEM.",2026-02-22T19:32:32.570322Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,"['siem', 'monitoring']"
SOC2-CC4.2,System Uptime Metrics Captured,soc2,CC4.2,Monitoring Activities,LOW,PASS,System uptime: 0 days (boot: 2026-02-22T11:43:20).,N/A,2026-02-22T19:32:32.570948Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,['availability']
SOC2-CC5.1,Host Firewall Active,soc2,CC5.1,Control Activities,HIGH,FAIL,No active firewall service detected.,Enable ufw or firewalld and define ingress/egress rules.,2026-02-22T19:32:32.591368Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,"['firewall', 'network']"
SOC2-CC6.1,Password Policy (login.defs),soc2,CC6.1,Logical Access,HIGH,SKIP,/etc/login.defs not found (non-Linux or container environment).,Ensure OS-level password policies are enforced.,2026-02-22T19:32:32.592094Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,"['passwords', 'iam']"
SOC2-CC6.3,SSH Root Login Disabled,soc2,CC6.3,Logical Access,CRITICAL,FAIL,PermitRootLogin = yes,Set PermitRootLogin no in /etc/ssh/sshd_config and reload sshd.,2026-02-22T19:32:32.593286Z,ComplianceEvidenceCollector,2.0.0,3AC71CDD,black.tximhotep.com,"['ssh', 'iam']"
