check_id,title,framework,control_ref,category,severity,status,details,remediation,timestamp,collector,version,run_id,host,tags
SOC2-CC1.1,Information Security Policy Exists,soc2,CC1.1,Organization & Management,HIGH,PASS,Policy file found on host.,Maintain a documented Information Security Policy (ISP) and store it in a central location.,2026-02-22T21:18:54.535389Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['policy', 'governance']"
SOC2-CC1.2,Audit Daemon Active (Control Environment),soc2,CC1.2,Organization & Management,HIGH,PASS,auditd status: inactive,Enable and configure auditd to capture security-relevant events per CISA guidance.,2026-02-22T21:18:54.543716Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['audit', 'logging']"
SOC2-CC2.1,System Logging Service Active,soc2,CC2.1,Communication & Information,MEDIUM,FAIL,No recognized syslog service detected as active.,Install and enable rsyslog or journald for centralized log management.,2026-02-22T21:18:54.562894Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,['logging']
SOC2-CC3.1,Vulnerability Scanner Present,soc2,CC3.1,Risk Assessment,HIGH,WARN,No common vulnerability scanner found in PATH.,"Deploy a vulnerability scanner (e.g., Trivy, Lynis, Nessus) and schedule periodic scans.",2026-02-22T21:18:54.563981Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,['vulnerability-management']
SOC2-CC3.2,Automated Patch Management Configured,soc2,CC3.2,Risk Assessment,HIGH,WARN,notfound,Enable unattended-upgrades (Debian/Ubuntu) or dnf-automatic (RHEL) for automatic security patches.,2026-02-22T21:18:54.571975Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,['patch-management']
SOC2-CC4.1,Log Forwarding / SIEM Agent Present,soc2,CC4.1,Monitoring Activities,HIGH,WARN,No log forwarding agent detected.,"Deploy a log forwarding agent (Filebeat, Fluentd, Splunk UF) to send logs to a SIEM.",2026-02-22T21:18:54.614653Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['siem', 'monitoring']"
SOC2-CC4.2,System Uptime Metrics Captured,soc2,CC4.2,Monitoring Activities,LOW,PASS,System uptime: 0 days (boot: 2026-02-22T11:43:20).,N/A,2026-02-22T21:18:54.615284Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,['availability']
SOC2-CC5.1,Host Firewall Active,soc2,CC5.1,Control Activities,HIGH,FAIL,No active firewall service detected.,Enable ufw or firewalld and define ingress/egress rules.,2026-02-22T21:18:54.638287Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['firewall', 'network']"
SOC2-CC6.1,Password Policy (login.defs),soc2,CC6.1,Logical Access,HIGH,SKIP,/etc/login.defs not found (non-Linux or container environment).,Ensure OS-level password policies are enforced.,2026-02-22T21:18:54.638920Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['passwords', 'iam']"
SOC2-CC6.3,SSH Root Login Disabled,soc2,CC6.3,Logical Access,CRITICAL,PASS,PermitRootLogin = no,Set PermitRootLogin no in /etc/ssh/sshd_config and reload sshd.,2026-02-22T21:18:54.640372Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['ssh', 'iam']"
SOC2-CC6.4,SSH Protocol Version 2 Only,soc2,CC6.4,Logical Access,HIGH,PASS,Protocol = 2,Set Protocol 2 in /etc/ssh/sshd_config.,2026-02-22T21:18:54.640744Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['ssh', 'iam']"
SOC2-CC6.5,World-Writable Files in /tmp,soc2,CC6.5,Logical Access,MEDIUM,PASS,No world-writable files found in /tmp.,Review and remediate world-writable files. Use sticky bit on shared directories.,2026-02-22T21:18:54.649990Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,['file-permissions']
SOC2-CC7.2,Listening Network Services Inventory,soc2,CC7.2,System Operations,INFO,PASS,Network listening services captured for review.,Disable unnecessary services and ports per principle of least functionality.,2026-02-22T21:18:54.662716Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['network', 'inventory']"
SOC2-CC8.1,Version Control System (git) Available,soc2,CC8.1,Change Management,MEDIUM,PASS,git found in PATH.,Ensure all infrastructure and application changes are tracked in a version control system.,2026-02-22T21:18:54.663516Z,ComplianceEvidenceCollector,2.0.0,4A85617A,black.tximhotep.com,"['change-management', 'scm']"
