check_id,title,framework,control_ref,category,severity,status,details,remediation,timestamp,collector,version,run_id,host,tags
SOC2-CC1.1,Information Security Policy Exists,soc2,CC1.1,Organization & Management,HIGH,PASS,Policy file found on host.,Maintain a documented Information Security Policy (ISP) and store it in a central location.,2026-02-22T21:39:54.872452Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['policy', 'governance']"
SOC2-CC1.2,Audit Daemon Active (Control Environment),soc2,CC1.2,Organization & Management,HIGH,PASS,auditd status: inactive,Enable and configure auditd to capture security-relevant events per CISA guidance.,2026-02-22T21:39:54.881536Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['audit', 'logging']"
SOC2-CC2.1,System Logging Service Active (syslog),soc2,CC2.1,Communication & Information,MEDIUM,PASS,syslog is active.,N/A,2026-02-22T21:39:54.935822Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['logging']
SOC2-CC3.1,Vulnerability Scanner Present,soc2,CC3.1,Risk Assessment,HIGH,WARN,No common vulnerability scanner found in PATH.,"Deploy a vulnerability scanner (e.g., Trivy, Lynis, Nessus) and schedule periodic scans.",2026-02-22T21:39:54.937044Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['vulnerability-management']
SOC2-CC3.2,Automated Patch Management Configured,soc2,CC3.2,Risk Assessment,HIGH,WARN,notfound,Enable unattended-upgrades (Debian/Ubuntu) or dnf-automatic (RHEL) for automatic security patches.,2026-02-22T21:39:54.944937Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['patch-management']
SOC2-CC4.1,Log Forwarding / SIEM Agent Present,soc2,CC4.1,Monitoring Activities,HIGH,WARN,No log forwarding agent detected.,"Deploy a log forwarding agent (Filebeat, Fluentd, Splunk UF) to send logs to a SIEM.",2026-02-22T21:39:54.993393Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['siem', 'monitoring']"
SOC2-CC4.2,System Uptime Metrics Captured,soc2,CC4.2,Monitoring Activities,LOW,PASS,System uptime: 0 days (boot: 2026-02-22T11:43:20).,N/A,2026-02-22T21:39:54.994075Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['availability']
SOC2-CC5.1,Host Firewall Active (macOS),soc2,CC5.1,Control Activities,HIGH,PASS,Firewall is active: active (macOS socketfilterfw),N/A,2026-02-22T21:39:55.014770Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['firewall', 'network']"
SOC2-CC6.1,Password Policy (login.defs),soc2,CC6.1,Logical Access,HIGH,SKIP,/etc/login.defs not found (non-Linux or container environment).,Ensure OS-level password policies are enforced.,2026-02-22T21:39:55.015493Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['passwords', 'iam']"
SOC2-CC6.3,SSH Root Login Disabled,soc2,CC6.3,Logical Access,CRITICAL,PASS,PermitRootLogin = no,Set PermitRootLogin no in /etc/ssh/sshd_config and reload sshd.,2026-02-22T21:39:55.016211Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['ssh', 'iam']"
